token,token_address,buy_sig,sell_sig,buy_time,sell_time,buy_slot,sell_slot,slot_diff,hold_seconds,hold_days,buy_amount,sell_amount,amount_traded,cost,proceeds,cost_per_token,proceeds_per_token,profit,cost_token,proceeds_token,pnl_pct,num_sells,largest_sell_pct
5jgwu3FU,5jgwu3FU...Eipump,2yp4ARLi...,5py787ws...,2025-11-09 10:32:37,2025-11-09 10:34:04,378864728,378864948,220,87,0.0010069444444444444,3425917.296477,6331772.792418,3425917.296477,1.803623022,5.039679224,5.264642622443727e-07,7.959349441652074e-07,0.9231842700860396,So111111,So111111,51.18499036801714,1,100.0
AiuRXJ6s,AiuRXJ6s...ZYpump,4HamKRj6...,4xzoMAys...,2025-11-09 10:38:38,2025-11-09 10:39:37,378865632,378865777,145,59,0.0006828703703703704,2879562.935542,5857770.794844,2879562.935542,1.6346846089999998,2.23616574,5.676849735851718e-07,3.8174346834605913e-07,-0.5354302666654374,So111111,So111111,-32.75434684571851,2,52.98858643906258
AiuRXJ6s,AiuRXJ6s...ZYpump,kxERSsEi...,3XbD6aP8...,2025-11-09 10:38:38,2025-11-09 10:44:38,378865631,378866532,901,360,0.004166666666666667,2978207.859302,6602545.437194,2978207.859302,1.529055734,8.769999307,5.134147132223213e-07,1.3282754947199792e-06,2.4268247836932946,So111111,So111111,158.7139519986454,2,52.98858643906258
PECazcZM,PECazcZM...Zfh3km,1ukjQScd...,4Tj8pybo...,2025-11-09 10:48:43,2025-11-09 10:48:44,378867144,378867147,3,1,1.1574074074074073e-05,9554608.022799,41716860.821412,9554608.022799,0.990000001,5.322031392,1.036149257654195e-07,1.2757506886204543e-07,0.2289297754584342,So111111,So111111,23.124219719918383,1,100.0
Bz8VsvjK,Bz8VsvjK...HGdqnA,5kaRSr1u...,4CaycC3E...,2025-11-09 11:19:27,2025-11-09 11:19:36,378871742,378871765,23,9,0.00010416666666666667,719625.888394,4304488.810225,719625.888394,0.357312895,2.710491594,4.965259043103919e-07,6.296895435205743e-07,0.09582800216840562,So111111,So111111,26.819071886114166,1,100.0
C9cL7mEv,C9cL7mEv...QBpump,5dvEafpu...,5YEzvR9A...,2025-11-09 11:49:14,2025-11-09 11:52:26,378876224,378876694,470,192,0.0022222222222222222,4579985.489383,8560417.382023,4579985.489383,1.633375734,0.698898207,3.5663338623809544e-07,8.164300592021324e-08,-1.259451951575813,So111111,So111111,-77.10730148362869,2,76.20744199488664
C9cL7mEv,C9cL7mEv...QBpump,5R5VMuJA...,2X2wJAPN...,2025-11-09 11:49:18,2025-11-09 11:53:13,378876234,378876812,578,235,0.0027199074074074074,1052448.717558,27418973.233241,1052448.717558,0.353018135,4.899794715,3.3542549780393014e-07,1.7870088253559413e-07,-0.16494462034893118,So111111,So111111,-46.72412094322893,2,76.20744199488664
